Job_title,Company,Job_type
Senior Digital Data Analyst,Jazeera Paints -,Full Time
Data Analyst,B.TECH -,Full Time
Data Analyst,Anasia Egypt for Trading -,Full Time
Data Quality Assurance Analyst Engineer,Z2 Data -,Full Time
Data Analyst & Forecasting Specialist- F&B,Confidential -,Full Time
Data Analyst,JoviTronix  -,Full Time
Data Science Sr. Analyst,Raya Customer Experience -,Full Time
Data Analyst Intern,TMentors -,Internship
Medical Data Analyst & Program Creation,Andalusia Maadi Hospital  -,Full Time
Data Analyst,Confidential -,Full Time
Financial Data Analyst-Persian and German Speaker,World Vest Base (WVB ) -,Full Time
Data Analyst,Second profit   -,Full Time
Financial Data Analyst,World Vest Base (WVB ) -,Full Time
Senior Big Data Analyst,BBI-Consultancy -,Full Time
Sales Analyst,Fatura  -,Full Time
Data Analyst (GMP - Google Marketing Platform),LG Electronics -,Full Time
Workforce Analyst,Sykes Enterprises -,Full Time
Senior Business Analyst,Caelum Egypt -,Full Time
Data Analyst,masr afdal -,Full Time
Marketing Data Analyst (For US Company),Confidential -,Full Time
Business Analyst,GCSSD -,Full Time
Business Analyst (Salesforce),FlairsTech -,Full Time
Business Analyst,FlairsTech -,Full Time
Senior Business Analyst,Egabi FSI -,Full Time
Budgeting & Financial Analyst,Allamna Integrated Solutions -,Full Time
Data Analyst Team Leader,Confidential -,Full Time
Financial Analyst - French Speaker,World Vest Base (WVB ) -,Full Time
Sales Analyst,Cairo Three A  for Agricultural and Animal Production -,Full Time
Power BI Analyst,Confidential -,Full Time
Market Research Analyst,System Technique -,Full Time
Quality Assurance Analyst,IdealRatings -,Full Time
Data Analyst,Knoz Elhekma Company -,Full Time
Quality Assurance Analyst,Fawry Banking & Payment Technology Services -,Full Time
Business Analyst,microtec -,Full Time
Senior Financial & Reporting Analyst,Nile Air -,Full Time
Operation Excellence Analyst,Caduceus Lane -,Full Time
Senior FP&A Analyst,Confidential -,Full Time
Senior Compensations & Benefits Analyst,Oriental Weavers -,Full Time
Senior Business Analyst - Cairo,Gulf United Group -,Full Time
Business Analyst Team Leader,Confidential -,Full Time
Senior Project Manager/Business Analyst,eBSEG -,Full Time
Fintech Business Analyst / Product Owner,Confidential -,Full Time
Workforce Planning Analyst,Perfect Presentation -,Full Time
Senior Fraud Analyst – Issuing Fraud Monitoring,Confidential -,Full Time
Senior Corporate Financial Analyst,Confidential -,Full Time
Acquiring Fraud Analyst,Confidential -,Full Time
Senior Business Analyst,e-finance -,Full Time
Business Analyst,BBI-Consultancy -,Full Time
Work Force Analyst,Xceed -,Full Time
Process Improvement Senior Analyst (French Speaker),Xceed -,Full Time
Senior System Analyst - Software,Rasan -,Full Time
Statistical Analyst,prosylab -,Freelance / Project
BI Analyst,Perfect Presentation -,Full Time
Risk Officer/ Analyst,Adm-Medsofts -,Full Time
Business Research Analyst-Marketing Research,Nile Projects & Trading -,Full Time
Business Data Analyst,R&S Management Consultancy -,Internship
Senior Financial Analyst,Contact -,Full Time
Senior Performance Analyst,Raya Customer Experience -,Full Time
Planning Analyst,Cilantro -,Full Time
Senior System Analyst,FlairsTech -,Full Time
Data Engineer,Ashtar.app -,Full Time
Senior Business Analyst,Dafater -,Part Time
Data Engineer,Paymob Solutions -,Full Time
Senior System Analyst,Pylon UMP -,Full Time
Senior Business Analyst Corporate Loan Origination,Veripark -,Full Time
Fund & Fixed Income Analyst,Mubasher -,Full Time
Systems Analyst (Application Support),TruKKer Misr -,Full Time
Business Analyst,Confidential -,Part Time
Financial Analyst - (FP&A) Corporate,Confidential -,Full Time
Senior System Analyst,Confidential -,Full Time
Junior Data Warehouse Engineer/ Data Engineer,360Imaging -,Full Time
Data Scientist,Chefaa IT -,Full Time
Data Scientist,Mobica -,Full Time
Data Management Specialist,M.Srour -,Full Time
Data Scientist - For USA (Remotely),Mobile Wave 3 -,Full Time
Senior Data Scientist,Nana -,Full Time
Market/Brand Strategist/Analyst,IMS -,Full Time
Merchandising Analyst,Retail Group Egypt -,Full Time
Head of Data Analysis,Zeina Group -,Full Time
Senior Digital Analyst,OSN -,Full Time
Accountant & Business Analyst,The Baker -,Full Time
Data Science Supervisor,Raya Customer Experience -,Full Time
Software Senior Business Analyst,Softec Technologies -,Full Time
Planning Analyst,Confidential -,Full Time
AML/KYC Transaction Monitoring Analyst,Vyral bytes -,Full Time
Market Research Analyst,Guardian Glass -,Full Time
Senior Business Analyst - Saudi Arabia,Future Face -,Full Time
Business Intelligence Analyst,WebBeds -,Full Time
Senior Data Governance,BBI-Consultancy -,Full Time
Business Analyst,Block Gemini -,Full Time
Senior Data Scientist,Confidential -,Full Time
Quality Assurance Analyst- German Speaker,Expleo -,Full Time
Staff Data Scientist,Nana -,Full Time
Application Support System Senior Analyst,Etisalat Misr -,Full Time
Real Time Analyst,Webhelp -,Full Time
Data & Analytics Lead,Kashier Payment Solutions -,Full Time
Live Sales Ops Analyst,Maxab -,Full Time
Data Architect,ARROW Electronics  -,Full Time
Cost Accountant - 10th Of Ramadan,RAM FOR INTERNATIONAL TRADING -,Full Time
System Analyst,intrazero -,Full Time
Power BI Developer,BI-Technologies -,Full Time
Financial Editor / Analyst,Argaam -,Full Time
Power BI Developer,Transmar International  -,Full Time
Research Analyst - Switzerland Based Multinational,Evalueserve -,Full Time
Associate Business Research,CRIF EGYPT -,Full Time
Senior ASP.Net Developer,Microtech -,Full Time
Workforce Supervisor,Cashcall -,Full Time
Tele-Research Associate,BNC Network -,Full Time
Senior .Net Developer,Z2 Data -,Full Time
Sr. Business Analyst,egabi solutions -,Full Time
Data Analysis Administrator/ Specialist,LG Electronics -,Full Time
Data Visualization Specialist,Talaat Moustafa Group -,Full Time
Data Management & Analytics Consultant - ETL & BI,Ejada (Cairo) -,Full Time
Economic Desk Researcher,Confidential -,Full Time
Statistician,prosylab -,Freelance / Project
Implementation Engineer,Trufla -,Full Time
Data Mining Specialist,Talaat Moustafa Group -,Full Time
French Back Office Agent,Majorel Egypt -,Full Time
Full Stack Java Developer (Remotely for USA),Mobile Wave 3 -,Full Time
.Net Full Stack Developer,Nile University -,Full Time
GIS Specialist,Fawry Banking & Payment Technology Services -,Full Time
Research Coordinator,Maxab -,Full Time
Planning & Analysis Sr. Specialist,Masary -,Full Time
Research Coordinator,Nile University -,Full Time
Business Researcher,Confidential -,Full Time
Senior Financial Planning & Analysis,ATRIC Developments -,Full Time
Costing Supervisor,Confidential -,Full Time
Financial Planning Analysis,Tawzef -,Full Time
Senior Full Stack Developer (NodeJS/React),Standout Solutions -,Full Time
AML & Underwriting Specialist,Fawry Banking & Payment Technology Services -,Full Time
Cost Accountant,Mozare3 -,Full Time
Senior .Net Developer - Banha,Z2 Data -,Full Time
Technical Support Specialist,TAB ERP Solutions -,Full Time
Customer Support Engineer "ERP Support Core Banking",Confidential -,Full Time
SEO Senior Specialist - e-commerce,Confidential -,Full Time
Full Stack Web Developer,Confidential -,Full Time
ERP Consultant (Odoo),Tawzef -,Full Time
Fraud Operations Manager,Confidential -,Full Time
Market Research Supervisor,Contact -,Full Time
SOC Engineer,Link Datacenter -,Full Time
Team Leader – (Issuing Fraud Monitoring),Confidential -,Full Time
Senior Budgeting Accountant,Al Watania Poultry -,Full Time
Senior Technical Consultant,Azentio Software -,Full Time
SEO Specialist,Victory Link -,Full Time
Software Developer,Allianz -,Full Time
Market Intelligence & Insights Specialist,Guardian Glass -,Full Time
ERP Technical Support (Help Desk ),Itroots  -,Full Time
SOC Tier 1 - Paid Internship,Cyber Force -,Internship
Front End Developer,Coral Technology -,Full Time
Product Solutions Manager,Amadeus Egypt -,Full Time
ERP Technical Support Specialist,SST -,Full Time
Pricing Specialist (Medical),Confidential -,Full Time
Cost Accountant,Confidential -,Full Time
Financial Planning Manager - (Automotive Background) -6th October,Confidential -,Full Time
Media Buyer/ Performance Marketer,MO4 Network -,Full Time
Research & Development Specialist (Pharmacist),EVA Cosmetics  -,Full Time
Economist,Mubasher -,Full Time
ERP Project Manager,TAB ERP Solutions -,Full Time
ERP Customer Specialist,TAB ERP Solutions -,Full Time
Workforce Supervisor,Andalusia Group -,Full Time
Chief Financial Officer,Confidential -,Full Time
Full Stack Developer,Squadio -,Full Time
Senior React Native Developer,Our Education -,Full Time
Medical Pricing & Market Research Specialist,Andalusia Maadi Hospital  -,Full Time
Senior Full Stack Developer / MVC and C#,Dynamicslink -,Full Time
ECommerce & Digital Marketing Manager,Confidential -,Full Time
E-Commerce Specialist,Elabd Foods -,Full Time
Internal Auditor,Power House Egypt -,Full Time
Product Owner - Health Care SaaS Platform,Confidential -,Full Time
Senior Full Stack .Net Developer,Smart IT -,Full Time
Methodology Specialist,Atco Pharma For Pharmaceutical Industries -,Full Time
Nav/.Net - Developer,Dynamicslink -,Full Time
Senior Software Tester,appcorp -,Full Time
Senior Research Manager,IDC -,Full Time
Medical Specialist (Research) - Alexandria,Caduceus Lane -,Full Time
Investment Banking Associate,Talaat Moustafa Group -,Full Time
Budget Controller (Retail Background) - 6th of October,Confidential -,Full Time
Senior Clinical Research Associate,Confidential -,Full Time
Business Application Support Specialist,Al Ahly Medical Company -,Full Time
.Net Team Leader,SURE International Technology -,Full Time
Senior Java Developer,egabi solutions -,Full Time
Sports Financial Support Specialist,Wadi Degla Group -,Full Time
Technical Consultant - RPA,alfanar -,Full Time
Cost Accountant,Simplex -,Full Time
Quality Control- Microbiology Supervisor - Pharmaceutical,Multicare -,Full Time
Senior .NET Developer,SURE International Technology -,Full Time
PHP WordPress & Woocommerce Plugin Developer,Impression Analytics LLC -,Part Time
Senior Full Stack Developer,3S Software -,Full Time
Senior.Net Developer,FlairsTech -,Full Time
Finance Manager,Confidential -,Full Time
Senior Officer – Acquiring Fraud Monitoring,Confidential -,Full Time
Senior Graphic Designer,Impression Analytics LLC -,Part Time
